x,y
-0.47504106273451896,-0.2224306351218388
-0.8599807373643965,0.09666409516345442
-1.244920411994274,0.41575882544874765
-1.6298600866241517,0.7348535557340409
-2.014799761254029,1.053948286019334
-2.3997394358839066,1.3730430163046274
-2.7846791105137845,1.6921377465899206
-3.169618785143662,2.0112324768752137
-3.5545584597735393,2.330327207160507
-3.939498134403417,2.6494219374458003
-4.324437809033294,2.9685166677310937
-4.709377483663172,3.2876113980163866
-5.09431715829305,3.60670612830168
-5.479256832922927,3.925800858586973
-5.864196507552805,4.244895588872266
-6.249136182182682,4.5639903191575595
-6.63407585681256,4.883085049442853
-7.019015531442437,5.202179779728146
-7.403955206072315,5.5212745100134395
-7.788894880702192,5.840369240298733
-8.17383455533207,6.159463970584026
-8.558774229961948,6.478558700869319
-8.943713904591824,6.797653431154612
-9.328653579221703,7.116748161439905
-9.713593253851581,7.435842891725199
-10.098532928481458,7.754937622010492
-10.483472603111336,8.074032352295784
-10.868412277741212,8.393127082581078
-11.25335195237109,8.712221812866371
-11.638291627000967,9.031316543151664
-12.023231301630846,9.350411273436958
-12.408170976260722,9.669506003722251
-12.7931106508906,9.988600734007544
-13.178050325520479,10.307695464292838
-13.562990000150355,10.626790194578131
-13.947929674780234,10.945884924863424
-14.33286934941011,11.264979655148718
-14.717809024039989,11.584074385434011
-15.102748698669865,11.903169115719304
-15.487688373299743,12.222263846004598
-15.87262804792962,12.541358576289891
-16.2575677225595,12.860453306575183
-16.642507397189377,13.179548036860476
-17.027447071819253,13.49864276714577
-17.41238674644913,13.817737497431063
-17.79732642107901,14.136832227716356
-18.182266095708886,14.45592695800165
-18.567205770338763,14.775021688286943
-18.952145444968643,15.094116418572236
-19.33708511959852,15.41321114885753
-19.722024794228396,15.732305879142823
-20.106964468858273,16.051400609428114
-20.491904143488153,16.370495339713408
-20.87684381811803,16.6895900699987
-21.261783492747906,17.008684800283994
-21.646723167377782,17.327779530569288
-22.031662842007663,17.64687426085458
-22.41660251663754,17.965968991139874
-22.801542191267416,18.285063721425168
-23.186481865897296,18.60415845171046
-23.571421540527172,18.923253181995754
-23.95636121515705,19.242347912281048
-24.341300889786925,19.56144264256634
-24.726240564416806,19.880537372851634
-25.111180239046682,20.199632103136928
-25.49611991367656,20.51872683342222
-25.88105958830644,20.837821563707514
-26.265999262936315,21.156916293992808
-26.650938937566192,21.4760110242781
-27.03587861219607,21.795105754563394
-27.42081828682595,22.114200484848688
-27.805757961455825,22.43329521513398
-28.1906976360857,22.752389945419274
-28.57563731071558,23.071484675704568
-28.960576985345458,23.39057940598986
-29.345516659975335,23.709674136275154
-29.73045633460521,24.028768866560448
-30.11539600923509,24.34786359684574
-30.500335683864968,24.666958327131034
-30.885275358494845,24.986053057416328
-31.27021503312472,25.30514778770162
-31.6551547077546,25.62424251798691
-32.04009438238448,25.943337248272204
-32.42503405701436,26.262431978557498
-32.809973731644234,26.58152670884279
-33.19491340627411,26.900621439128084
-33.57985308090399,27.219716169413378
-33.964792755533864,27.53881089969867
-34.34973243016374,27.857905629983964
-34.734672104793624,28.177000360269258
-35.1196117794235,28.49609509055455
-35.50455145405338,28.815189820839844
-35.889491128683254,29.134284551125138
-36.27443080331313,29.45337928141043
-36.65937047794301,29.772474011695724
-37.04431015257288,30.091568741981018
-37.42924982720277,30.41066347226631
-37.814189501832644,30.729758202551604
-38.19912917646252,31.048852932836898
-38.5840688510924,31.36794766312219
-38.96900852572227,31.687042393407484
-39.35394820035215,32.006137123692774
-39.73888787498203,32.32523185397807
-40.1238275496119,32.64432658426336
-40.50876722424179,32.963421314548654
-40.89370689887166,33.28251604483395
-41.27864657350154,33.60161077511924
-41.663586248131416,33.920705505404534
-42.04852592276129,34.23980023568983
-42.43346559739117,34.55889496597512
-42.818405272021046,34.877989696260414
-43.20334494665093,35.19708442654571
-43.588284621280806,35.516179156831
-43.97322429591068,35.835273887116294
-44.35816397054056,36.15436861740159
-44.492804777718426,36.545018219926405
-44.33469089471001,37.01935986895166
-44.17657701170159,37.493701517976916
-44.01846312869317,37.96804316700217
-43.59425332001667,38.127007479142435
-43.10006747119136,38.20303607126941
-42.60588162236605,38.279064663396376
-42.11169577354074,38.35509325552335
-41.617509924715435,38.43112184765032
-41.123324075890125,38.50715043977729
-40.629138227064814,38.58317903190426
-40.134952378239504,38.65920762403123
-39.6407665294142,38.7352362161582
-39.14658068058889,38.81126480828517
-38.65239483176358,38.88729340041214
-38.15820898293828,38.963321992539115
-37.664023134112966,39.03935058466608
-37.169837285287656,39.115379176793056
-36.675651436462346,39.19140776892002
-36.18266009617639,39.17962373459486
-35.69072514112644,39.09018101549487
-35.19879018607649,39.00073829639488
-34.70685523102653,38.91129557729489
-34.21492027597658,38.821852858194895
-33.722985320926625,38.7324101390949
-33.23105036587667,38.64296741999491
-32.73911541082672,38.55352470089492
-32.247180455776764,38.464081981794926
-31.755245500726808,38.374639262694934
-31.263310545676855,38.28519654359494
-30.771375590626903,38.19575382449495
-30.279440635576947,38.10631110539496
-29.836373916043016,37.902639332790265
-29.4319604310598,37.60861597799727
-29.027546946076583,37.31459262320426
-28.623133461093367,37.020569268411265
-28.21871997611015,36.72654591361827
-27.814306491126935,36.43252255882527
-27.40989300614372,36.13849920403227
-27.005479521160503,35.84447584923927
-26.601066036177286,35.55045249444627
-26.19665255119407,35.25642913965327
-25.792239066210854,34.96240578486027
-25.387825581227638,34.66838243006727
-24.98341209624442,34.37435907527427
-24.578998611261206,34.08033572048127
-24.17458512627799,33.786312365688275
-23.770171641294773,33.49228901089528
-23.365758156311557,33.19826565610228
-22.96134467132834,32.904242301309274
-22.556931186345125,32.61021894651628
-22.15251770136191,32.31619559172328
-21.748104216378692,32.02217223693028
-21.343690731395476,31.72814888213728
-20.93927724641226,31.43412552734428
-20.53486376142904,31.14010217255128
-20.130450276445824,30.846078817758283
-19.726036791462608,30.55205546296528
-19.321623306479392,30.258032108172284
-18.917209821496176,29.964008753379282
-18.51279633651296,29.669985398586284
-18.108382851529743,29.375962043793287
-17.703969366546527,29.081938689000285
-17.29955588156331,28.787915334207284
-16.895142396580095,28.493891979414286
-16.490728911596875,28.19986862462129
-16.08631542661366,27.90584526982829
-15.681901941630445,27.61182191503529
-15.277488456647228,27.317798560242288
-14.873074971664012,27.02377520544929
-14.468661486680796,26.729751850656292
-14.06424800169758,26.43572849586329
-13.659834516714362,26.141705141070293
-13.255421031731146,25.847681786277292
-12.85100754674793,25.553658431484294
-12.446594061764714,25.259635076691296
-12.042180576781497,24.965611721898295
-11.637767091798281,24.671588367105294
-11.233353606815065,24.377565012312296
-10.828940121831849,24.083541657519298
-10.424526636848633,23.7895183027263
-10.020113151865417,23.4954949479333
-9.6156996668822,23.201471593140298
-9.211286181898984,22.9074482383473
-8.806872696915768,22.613424883554302
-8.402459211932552,22.319401528761304
-8.073719643898839,21.96176650745551
-7.853597337463038,21.512827569280862
-7.633475031027237,21.06388863110621
-7.389146868585574,20.68615123414774
-6.941013104054647,20.907908148554796
-6.49287933952372,21.129665062961852
-6.044745574992792,21.35142197736891
-5.596611810461865,21.573178891775967
-5.148478045930938,21.794935806183027
-4.70034428140001,22.016692720590083
-4.275408994177807,22.265506699072464
-3.987839770822097,22.67453474429503
-3.700270547466387,23.083562789517597
-3.412701324110677,23.492590834740163
-3.125132100754967,23.90161887996273
-2.837562877399257,24.310646925185296
-2.549993654043547,24.719674970407866
-2.312106185088185,25.145287174834646
-2.2963179472136397,25.645037844213704
-2.280529709339094,26.144788513592758
-2.264741471464548,26.644539182971815
-2.2489532335900027,27.144289852350873
-2.233164995715457,27.64404052172993
-2.2173767578409116,28.14379119110899
-2.423248146969433,28.59151689873678
-2.6597290840251984,29.03205834560555
-2.8962100210809636,29.47259979247432
-3.1326909581367284,29.913141239343087
-3.3691718951924936,30.353682686211855
-3.605652832248259,30.794224133080622
-3.8421337693040236,31.23476557994939
-4.078614706359788,31.675307026818157
-4.315095643415553,32.115848473686924
-4.551576580471319,32.556389920555695
-4.788057517527084,32.996931367424466
-5.024538454582849,33.43747281429323
-5.261019391638614,33.878014261162
-5.497500328694379,34.318555708030765
-5.733981265750144,34.759097154899536
-5.9704622028059084,35.1996386017683
-6.206943139861674,35.64018004863707
-6.443424076917439,36.08072149550584
-6.679905013973204,36.521262942374605
-6.916385951028969,36.961804389243376
-7.072605389316086,37.40444292620719
-6.859452537659695,37.856732503613905
-6.646299686003302,38.30902208102062
-6.4331468343469105,38.76131165842734
-6.219993982690518,39.21360123583406
-6.006841131034126,39.66589081324078
-5.793688279377734,40.118180390647495
-5.580535427721342,40.57046996805421
-5.36738257606495,41.022759545460936
-5.154229724408557,41.47504912286765
-4.9410768727521654,41.92733870027437
-4.727924021095774,42.37962827768109
-4.514771169439381,42.83191785508781
-4.301618317782989,43.284207432494526
-4.088465466126596,43.73649700990124
-3.8753126144702046,44.188786587307966
-3.6621597628138125,44.64107616471468
-3.4490069111574204,45.0933657421214
-3.2358540595010283,45.54565531952812
-3.0227012078446363,45.99794489693484
-2.8095483561882437,46.450234474341556
-2.596395504531852,46.90252405174827
-2.3832426528754596,47.35481362915499
-2.170089801219068,47.80710320656171
-1.9569369495626754,48.25939278396843
-1.7437840979062829,48.711682361375146
-1.5306312462498912,49.16397193878187
-1.3174783945934987,49.61626151618859
-1.104325542937107,50.0685510935953
-0.8911726912807145,50.52084067100202
-0.6780198396243229,50.97313024840874
-0.46486698796793036,51.42541982581546
-0.25171413631153783,51.87770940322218
-0.03856128465514619,52.3299989806289
0.17459156700124634,52.78228855803562
