algoritmo,separacion_m,tiempo_s,longitud_original_m,longitud_suavizada_m,waypoints
D*,0.5,0.3250732089999957,402.148987542164,387.72777690676935,777
D*,1.0,0.3250732089999957,402.148987542164,387.72777690676935,389
RRT,0.5,1.4413070200000107,422.5849791884999,400.88357389234943,803
RRT,1.0,1.4413070200000107,422.5849791884999,400.88357389234943,402
